product_id,product_name,brand_name,category,volume_in_ml,list_price,discount_price,price_per_ml,discount%,sale_in_30days,sales_revenue,rating,no_of_reviews,first_available,stock_alert,ranking_shampoo,ranking_conditioner,ranking_hair_treatments,ranking_hair_styling
108764,"Mielle, Strengthening Shampoo, Rosemary Mint, 12 fl oz (355 ml)",Mielle,Shampoo,355.0,95.93,95.93,0.27,0.0,10000,959300.0,4.6,17806,2021-08-01,in stock,2.0,,,
6419,"Giovanni, Smooth As Silk™, Deep Moisture Shampoo, For Damaged Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,250.0,71.8,71.8,0.29,0.0,5000,359000.0,4.5,60121,2007-05-01,in stock,4.0,,,
6412,"Giovanni, Tea Tree Triple Treat, Invigorating Shampoo, For All Hair Types, 8.5 fl oz (250 ml)",Giovanni,Shampoo,250.0,71.8,71.8,0.29,0.0,5000,359000.0,4.6,30287,2007-05-01,in stock,8.0,,,
100354,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Shampoo, 13 fl oz (384 ml)",SheaMoisture,Shampoo,384.0,93.03,93.03,0.24,0.0,5000,465150.0,4.5,33247,2020-06-01,in stock,9.0,,,
6398,"Giovanni, 50:50 Balanced™, Hydrating-Clarifying Shampoo, For Normal to Dry Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,250.0,71.8,71.8,0.29,0.0,2000,143600.0,4.5,17385,2007-05-01,in stock,15.0,,,
99878,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Shampoo, 3.2 fl oz (95 ml)",SheaMoisture,Shampoo,95.0,28.49,28.49,0.3,0.0,1000,28490.0,4.5,33247,2020-06-01,in stock,26.0,,,
122069,"Kitsch, Strengthening  Solid Shampoo Bar,  Rice Water Protein, White Tea & Mandarin, 1 Bar, 3.2 oz (91 g)",Kitsch,Shampoo,94.29388654477262,110.51,110.51,1.17,0.0,0,0.0,4.6,512,2023-06-01,out of stock,30.0,,,
14368,"Giovanni, Root 66, Max Volume Shampoo, For Limp, Lifeless Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,250.0,71.81,71.81,0.29,0.0,1000,71810.0,4.5,5659,2009-01-01,in stock,35.0,,,
120649,"SheaMoisture, Curl & Shine Shampoo, Thick, Curly Hair, Coconut & Hibiscus, 13 fl oz (384 ml)",SheaMoisture,Shampoo,384.0,93.03,93.03,0.24,0.0,0,0.0,4.7,1174,2023-05-01,out of stock,31.0,,,
97575,"SheaMoisture, Kids Extra-Nourishing Shampoo, Mango & Carrot, 8 fl oz (237 ml)",SheaMoisture,Shampoo,237.0,85.59,85.59,0.36,0.0,750,64192.5,4.7,8900,2020-01-01,in stock,45.0,,,
99931,"Giovanni, Tea Tree Triple Treat, Invigorating Shampoo, For All Hair Types, 2 fl oz (60 ml)",Giovanni,Shampoo,60.0,19.48,19.48,0.32,0.0,1000,19480.0,4.6,30287,2020-04-01,in stock,46.0,,,
100295,"SheaMoisture, Power Greens Shampoo, Moringa & Avocado, 13 fl oz (384 ml)",SheaMoisture,Shampoo,384.0,93.03,93.03,0.24,0.0,750,69772.5,4.5,8143,2020-06-01,in stock,47.0,,,
103812,"Giovanni, Smooth As Silk, Deep Moisture Shampoo, For Damaged Hair, 2 fl oz (60 ml)",Giovanni,Shampoo,60.0,19.48,19.48,0.32,0.0,1000,19480.0,4.5,60121,2021-01-01,in stock,48.0,,,
