product_id,product_name,brand_name,category,list_price,discount_price,sale_in_30days,rating,no_of_reviews,first_available,rankings,stock_alert
108764,"Mielle, Strengthening Shampoo, Rosemary Mint, 12 fl oz (355 ml)",Mielle,Shampoo,95.93,95.93,10000,4.6,17806,08/2021,"{'ranking_shampoo': 2, 'ranking_hair_care': 5, 'ranking_bath_&_personal_care': 10}",
6419,"Giovanni, Smooth As Silk™, Deep Moisture Shampoo, For Damaged Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,71.8,71.8,5000,4.5,60121,05/2007,"{'ranking_shampoo': 4, 'ranking_hair_care': 12, 'ranking_bath_&_personal_care': 43}",
6412,"Giovanni, Tea Tree Triple Treat, Invigorating Shampoo, For All Hair Types, 8.5 fl oz (250 ml)",Giovanni,Shampoo,71.8,71.8,5000,4.6,30287,05/2007,"{'ranking_shampoo': 8, 'ranking_hair_care': 20, 'ranking_bath_&_personal_care': 55}",
100354,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Shampoo, 13 fl oz (384 ml)",SheaMoisture,Shampoo,93.03,93.03,5000,4.5,33247,06/2020,"{'ranking_shampoo': 9, 'ranking_hair_care': 21, 'ranking_bath_&_personal_care': 58}",
6398,"Giovanni, 50:50 Balanced™, Hydrating-Clarifying Shampoo, For Normal to Dry Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,71.8,71.8,2000,4.5,17385,05/2007,"{'ranking_shampoo': 15, 'ranking_hair_care': 48, 'ranking_bath_&_personal_care': 156}",
99878,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Shampoo, 3.2 fl oz (95 ml)",SheaMoisture,Shampoo,28.49,28.49,1000,4.5,33247,06/2020,"{'ranking_shampoo': 26, 'ranking_hair_care': 90, 'ranking_bath_&_personal_care': 342}",
122069,"Kitsch, Strengthening  Solid Shampoo Bar,  Rice Water Protein, White Tea & Mandarin, 1 Bar, 3.2 oz (91 g)",Kitsch,Shampoo,110.51,110.51,,4.6,512,06/2023,"{'ranking_shampoo': 30, 'ranking_hair_care': 101, 'ranking_bath_&_personal_care': 381}",out of stock
14368,"Giovanni, Root 66, Max Volume Shampoo, For Limp, Lifeless Hair, 8.5 fl oz (250 ml)",Giovanni,Shampoo,71.81,71.81,1000,4.5,5659,01/2009,"{'ranking_shampoo': 35, 'ranking_hair_care': 120, 'ranking_bath_&_personal_care': 441}",
120649,"SheaMoisture, Curl & Shine Shampoo, Thick, Curly Hair, Coconut & Hibiscus, 13 fl oz (384 ml)",SheaMoisture,Shampoo,93.03,93.03,,4.7,1174,05/2023,"{'ranking_shampoo': 31, 'ranking_hair_care': 104, 'ranking_bath_&_personal_care': 387}",out of stock
97575,"SheaMoisture, Kids Extra-Nourishing Shampoo, Mango & Carrot, 8 fl oz (237 ml)",SheaMoisture,Shampoo,85.59,85.59,750,4.7,8900,01/2020,"{'ranking_baby_shampoo': 3, 'ranking_baby_&_kids_bath,_skin,_hair': 20, 'ranking_shampoo': 45, 'ranking_hair_care': 151, 'ranking_baby_&_kids': 285}",
99931,"Giovanni, Tea Tree Triple Treat, Invigorating Shampoo, For All Hair Types, 2 fl oz (60 ml)",Giovanni,Shampoo,19.48,19.48,1000,4.6,30287,04/2020,"{'ranking_shampoo': 46, 'ranking_hair_care': 153, 'ranking_bath_&_personal_care': 558}",
100295,"SheaMoisture, Power Greens Shampoo, Moringa & Avocado, 13 fl oz (384 ml)",SheaMoisture,Shampoo,93.03,93.03,750,4.5,8143,06/2020,"{'ranking_shampoo': 47, 'ranking_hair_care': 155, 'ranking_bath_&_personal_care': 564}",
103812,"Giovanni, Smooth As Silk, Deep Moisture Shampoo, For Damaged Hair, 2 fl oz (60 ml)",Giovanni,Shampoo,19.48,19.48,1000,4.5,60121,01/2021,"{'ranking_shampoo': 48, 'ranking_hair_care': 157, 'ranking_bath_&_personal_care': 567}",
